PUSH BC|11000101|1
PUSH DE|11010101|1
PUSH HL|11100101|1
PUSH AF|11110101|1
PUSH IX|1101110111100101|2
PUSH IY|1111110111100101|2
RET|11001001|1
RET NZ|11000000|1
RET Z|11001000|1
RET NC|11010000|1
RET C|11011000|1
RET PO|11100000|1
RET PE|11101000|1
RET P|11110000|1
RET M|11111000|1
RST 00H|11000111|1
RST 08H|11001111|1
RST 10H|11010111|1
RST 18H|11011111|1
RST 20H|11100111|1
RST 28H|11101111|1
RST 30H|11110111|1
RST 38H|11111111|1
RETI|1110110101001101|2
RETN|1110110101000101|2
